tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
MA13	Adirondacks	MA13-1:MA13-2:MA13-3:MA13-4:MA13-6:MA13-7:MA13-8	MA13-1a:MA13-2a:MA13-3a:MA13-4a:MA13-6a:MA13-7a:MA13-8a	  180.0 	mt	  331.4 	  -32.4 	     1 	7.0	7 	7 	0 	t	2.3432 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	  203.2 	  114.7 	   23.0 	  135.6 
MA14	Adirondacks	MA14-1:MA14-2:MA14-4:MA14-5:MA14-6:MA14-7:MA14-8	MA14-1a:MA14-2a:MA14-4a:MA14-5a:MA14-6a:MA14-7a:MA14-8a	    8.4 	lt	  357.6 	   68.7 	    53 	7.0	7 	7 	0 	n	6.8866 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   14.2 	   12.0 	   81.9 	  275.4 
MA14	Adirondacks	MA14-2:MA14-4:MA14-6:MA14-7:MA14-8	MA14-2a:MA14-4a:MA14-6a:MA14-7a:MA14-8a	   80.3 	mlt	  197.4 	  -89.7 	     2 	5.0	5 	5 	0 	r	2.8633 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	  160.6 	  160.6 	  -44.7 	  106.2 
MA14	Adirondacks	MA14-3:MA14-4:MA14-7	MA14-3a:MA14-4a:MA14-7a	  180.0 	mt	  124.5 	   16.3 	     1 	3.0	3 	3 	0 	t	1.4001 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	  185.6 	   95.7 	  -17.6 	  344.7 
MA14	Adirondacks	MA14-1:MA14-2:MA14-4:MA14-5:MA14-6:MA14-7:MA14-8	MA14-1a:MA14-2a:MA14-4a:MA14-5a:MA14-6a:MA14-7a:MA14-8a	    8.4 	lt	  357.6 	   68.7 	    53 	7.0	7 	7 	0 	n	6.8866 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   14.2 	   12.0 	   81.9 	  275.4 
MA14	Adirondacks	MA14-2:MA14-4:MA14-6:MA14-7:MA14-8	MA14-2a:MA14-4a:MA14-6a:MA14-7a:MA14-8a	   80.3 	mlt	  197.4 	  -89.7 	     2 	5.0	5 	5 	0 	r	2.8633 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	  160.6 	  160.6 	  -44.7 	  106.2 
MA14	Adirondacks	MA14-3:MA14-4:MA14-7	MA14-3a:MA14-4a:MA14-7a	  180.0 	mt	  124.5 	   16.3 	     1 	3.0	3 	3 	0 	t	1.4001 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	  185.6 	   95.7 	  -17.6 	  344.7 
MA15	Adirondacks	MA15-1:MA15-2:MA15-3:MA15-4:MA15-5:MA15-6:MA15-7:MA15-8	MA15-1a:MA15-2a:MA15-3a:MA15-4a:MA15-5a:MA15-6a:MA15-7a:MA15-8a	    7.5 	mt	  106.8 	   29.8 	    55 	8.0	8 	8 	0 	t	7.8734 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    8.3 	    4.6 	   -0.5 	  352.9 
MA15	Adirondacks	MA15-1:MA15-3:MA15-4:MA15-7:MA15-8	MA15-1a:MA15-3a:MA15-4a:MA15-7a:MA15-8a	    9.5 	lt	  345.3 	   51.1 	    65 	5.0	5 	5 	0 	n	4.9389 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   12.9 	    8.7 	   73.1 	  153.9 
MA15	Adirondacks	MA15-1:MA15-2:MA15-3:MA15-6	MA15-1a:MA15-2a:MA15-3a:MA15-6a	   30.4 	mlt	  254.0 	  -76.9 	    10 	4.0	4 	4 	0 	r	3.7027 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   56.6 	   52.7 	  -45.6 	  141.3 
MA15	Adirondacks	MA15-1:MA15-2:MA15-3:MA15-6	MA15-1a:MA15-2a:MA15-3a:MA15-6a	   30.4 	mlt	  254.0 	  -76.9 	    10 	4.0	4 	4 	0 	r	3.7027 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   56.6 	   52.7 	  -45.6 	  141.3 
MA15	Adirondacks	MA15-1:MA15-3:MA15-4:MA15-7:MA15-8	MA15-1a:MA15-3a:MA15-4a:MA15-7a:MA15-8a	    9.5 	lt	  345.3 	   51.1 	    65 	5.0	5 	5 	0 	n	4.9389 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   12.9 	    8.7 	   73.1 	  153.9 
MA15	Adirondacks	MA15-1:MA15-2:MA15-3:MA15-4:MA15-5:MA15-6:MA15-7:MA15-8	MA15-1a:MA15-2a:MA15-3a:MA15-4a:MA15-5a:MA15-6a:MA15-7a:MA15-8a	    7.5 	mt	  106.8 	   29.8 	    55 	8.0	8 	8 	0 	t	7.8734 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    8.3 	    4.6 	   -0.5 	  352.9 
MA16	Adirondacks	MA16-1:MA16-2:MA16-3:MA16-4:MA16-5:MA16-7:MA16-8	MA16-1a:MA16-2a:MA16-3a:MA16-4a:MA16-5a:MA16-7a:MA16-8a	   49.3 	mlt	  326.6 	  -88.1 	     2 	7.0	7 	7 	0 	r	4.5515 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   98.4 	   98.3 	  -40.9 	  108.7 
MA16	Adirondacks	MA16-1:MA16-2:MA16-3:MA16-4:MA16-5:MA16-8	MA16-1a:MA16-2a:MA16-3a:MA16-4a:MA16-5a:MA16-8a	   22.5 	mt	  103.6 	   65.3 	    10 	6.0	6 	6 	0 	t	5.4899 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   36.5 	   29.5 	   23.4 	  331.7 
MA16	Adirondacks	MA16-1:MA16-2:MA16-3:MA16-4:MA16-5:MA16-7:MA16-8	MA16-1a:MA16-2a:MA16-3a:MA16-4a:MA16-5a:MA16-7a:MA16-8a	   49.3 	mlt	  326.6 	  -88.1 	     2 	7.0	7 	7 	0 	r	4.5515 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   98.4 	   98.3 	  -40.9 	  108.7 
MA16	Adirondacks	MA16-1:MA16-2:MA16-3:MA16-4:MA16-5:MA16-8	MA16-1a:MA16-2a:MA16-3a:MA16-4a:MA16-5a:MA16-8a	   22.5 	mt	  103.6 	   65.3 	    10 	6.0	6 	6 	0 	t	5.4899 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   36.5 	   29.5 	   23.4 	  331.7 
MA17	Adirondacks	MA17-1	MA17-1a		mlt	215.1	-80.5		1.0	1	1	0	r		100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  346.1 	  332.8 	  -57.8 	  125.9 
MA17	Adirondacks	MA17-11:MA17-5:MA17-6:MA17-7:MA17-8	MA17-11a:MA17-5a:MA17-6a:MA17-7a:MA17-8a	   11.0 	mt	  102.2 	   14.1 	    50 	5.0	5 	5 	0 	t	4.9196 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   11.3 	    5.8 	   -3.7 	    2.3 
MA17	Adirondacks	MA17-11:MA17-5:MA17-6:MA17-7:MA17-8	MA17-11a:MA17-5a:MA17-6a:MA17-7a:MA17-8a	   11.0 	mt	  102.2 	   14.1 	    50 	5.0	5 	5 	0 	t	4.9196 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.3 	    5.8 	   -3.7 	    2.3 
MA17	Adirondacks	MA17-10:MA17-11:MA17-1:MA17-2:MA17-3:MA17-5:MA17-6:MA17-7:MA17-8:MA17-9	MA17-10a:MA17-11a:MA17-1a:MA17-2a:MA17-3a:MA17-5a:MA17-6a:MA17-7a:MA17-8a:MA17-9a	    7.2 	lt	    3.1 	   67.0 	    46 	10.0	10 	10 	0 	n	9.8054 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   11.9 	    9.9 	   84.0 	  305.6 
MA17	Adirondacks	MA17-1	MA17-1a		mlt	215.1	-80.5		1.0	1	1	0	r		0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  346.1 	  332.8 	  -57.8 	  125.9 
