tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon	site_name
SJ6	Grenville orogen	SJ6-1:SJ6-2:SJ6-3:SJ6-4:SJ6-5:SJ6-6	SJ6-1a:SJ6-2a:SJ6-3a:SJ6-4a:SJ6-5a:SJ6-6a	   17.8 	mt	  264.9 	  -52.5 	    15 	6.0	6 	6 	0 	t	5.6709 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   24.5 	   16.9 	  -26.0 	  169.8 	SJ6
SJ6	Grenville orogen	SJ6-1:SJ6-2:SJ6-3:SJ6-4:SJ6-6	SJ6-1a:SJ6-2a:SJ6-3a:SJ6-4a:SJ6-6a	   18.0 	pdf	  334.2 	   68.5 	    19 	5.0	5 	5 	0 	n	4.7895 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   30.4 	   25.7 	   71.6 	  222.8 	SJ6
SJ6	Grenville orogen	SJ6-2	SJ6-2a		mmt	260.0	-26.9		1.0	1	1	0	t		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  195.6 	  106.3 	  -17.0 	  188.3 	SJ6
SJ6	Grenville orogen	SJ6-1:SJ6-2:SJ6-3:SJ6-4:SJ6-5:SJ6-6	SJ6-1a:SJ6-2a:SJ6-3a:SJ6-4a:SJ6-5a:SJ6-6a	   17.8 	mt	  264.9 	  -52.5 	    15 	6.0	6 	6 	0 	t	5.6709 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   24.5 	   16.9 	  -26.0 	  169.8 	SJ6
SJ6	Grenville orogen	SJ6-1:SJ6-2:SJ6-3:SJ6-4:SJ6-6	SJ6-1a:SJ6-2a:SJ6-3a:SJ6-4a:SJ6-6a	   18.0 	pdf	  334.2 	   68.5 	    19 	5.0	5 	5 	0 	n	4.7895 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   30.4 	   25.7 	   71.6 	  222.8 	SJ6
SJ7	Grenville orogen	SJ7-1:SJ7-2:SJ7-3:SJ7-4:SJ7-5	SJ7-1a:SJ7-2a:SJ7-3a:SJ7-4a:SJ7-5a	   14.3 	mt	  115.8 	   37.8 	    29 	5.0	5 	5 	0 	t	4.8639 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   16.9 	   10.0 	   -1.8 	  338.7 	SJ7
SJ7	Grenville orogen	SJ7-1:SJ7-2:SJ7-3:SJ7-4:SJ7-5	SJ7-1a:SJ7-2a:SJ7-3a:SJ7-4a:SJ7-5a	   14.3 	mt	  115.8 	   37.8 	    29 	5.0	5 	5 	0 	t	4.8639 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   16.9 	   10.0 	   -1.8 	  338.7 	SJ7
SJ8	Grenville orogen	SJ8-2:SJ8-3:SJ8-4	SJ8-2a:SJ8-3a:SJ8-4a	   35.0 	mt	  134.4 	   23.4 	    13 	3.0	3 	3 	0 	t	2.8516 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   37.3 	   19.8 	  -19.6 	  329.4 	SJ8
SJ8	Grenville orogen	SJ8-2:SJ8-3:SJ8-4	SJ8-2a:SJ8-3a:SJ8-4a	   35.0 	mt	  134.4 	   23.4 	    13 	3.0	3 	3 	0 	t	2.8516 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   37.3 	   19.8 	  -19.6 	  329.4 	SJ8
SJ9	Grenville orogen	SJ9-1:SJ9-2:SJ9-3:SJ9-4:SJ9-5:SJ9-6	SJ9-1a:SJ9-2a:SJ9-3a:SJ9-4a:SJ9-5a:SJ9-6a	    9.3 	mt	   96.6 	   38.2 	    53 	6.0	6 	6 	0 	t	5.9061 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   11.0 	    6.5 	   10.5 	  351.7 	SJ9
SJ9	Grenville orogen	SJ9-1:SJ9-2:SJ9-3:SJ9-4:SJ9-5:SJ9-6	SJ9-1a:SJ9-2a:SJ9-3a:SJ9-4a:SJ9-5a:SJ9-6a	    9.3 	mt	   96.6 	   38.2 	    53 	6.0	6 	6 	0 	t	5.9061 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   11.0 	    6.5 	   10.5 	  351.7 	SJ9
TH1	Grenville orogen	TH1-5:TH1-6	TH1-5a:TH1-6a	   38.6 	py	  101.7 	   51.3 	    44 	2.0	2 	2 	0 	t	1.9772 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   52.4 	   35.5 	   14.6 	  340.7 	TH1
