tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
HH6-13a	HH6-13a_LP-DIR-T	HH6-13		pdf	6.0	57.7	1	4	0	52.5	2.3	423	273	K		hargrave 2023-11-13 17:33:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-13a		HH6-13																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-13a	HH6-13a_LP-DIR-T	HH6-13		pdf	145.0	59.0	1	4	-1	52.5	2.3	423	273	K		hargrave 2023-11-13 17:33:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-14a	HH6-14a_LP-DIR-T	HH6-14		pdf	329.1	71.3	1	3	100	33.9	5.2	373	273	K		hargrave 2023-11-25 09:34:18	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-14a	HH6-14a_LP-DIR-T	HH6-14		pdf	329.1	71.3	1	3	0	33.9	5.2	373	273	K		hargrave 2023-11-25 09:34:18	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-14a	HH6-14a_LP-DIR-T	HH6-14		pdf	192.0	45.1	1	3	-1	33.9	5.2	373	273	K		hargrave 2023-11-25 09:34:18	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-14a		HH6-14																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-15a	HH6-15a_LP-DIR-T	HH6-15		pdf	4.3	48.3	1	4	0	14.6	8.1	423	273	K		hargrave 2023-11-25 09:35:32	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-15a		HH6-15																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-15a	HH6-15a_LP-DIR-T	HH6-15		pdf	4.3	48.3	1	4	100	14.6	8.1	423	273	K		hargrave 2023-11-25 09:35:32	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-15a	HH6-15a_LP-DIR-T	HH6-15		pdf	343.6	86.2	1	4	-1	14.6	8.1	423	273	K		hargrave 2023-11-25 09:35:32	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-1a		HH6-1																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-1a	HH6-1a_LP-DIR-T	HH6-1		pdf	208.8	74.8	1	4	-1	24.3	3.2	423	273	K		hargrave 2023-11-13 17:14:10	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-1a	HH6-1a_LP-DIR-T	HH6-1		pdf	356.9	68.2	1	4	0	24.3	3.2	423	273	K		hargrave 2023-11-13 17:14:10	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-1a	HH6-1a_LP-DIR-T	HH6-1		pdf	356.9	68.2	1	4	100	24.3	3.2	423	273	K		hargrave 2023-11-13 17:14:10	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-2a	HH6-2a_LP-DIR-T	HH6-2		pdf	345.5	42.3	1	3	0	84.9	1.9	373	273	K		hargrave 2023-11-13 17:15:38	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-2a	HH6-2a_LP-DIR-T	HH6-2		pdf	345.5	42.3	1	3	100	84.9	1.9	373	273	K		hargrave 2023-11-13 17:15:38	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-2a		HH6-2																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-2a	HH6-2a_LP-DIR-T	HH6-2		pdf	349.9	67.1	1	3	-1	84.9	1.9	373	273	K		hargrave 2023-11-13 17:15:38	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-3a		HH6-3																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-4a	HH6-4a_LP-DIR-T	HH6-4		pdf	348.2	68.9	1	4	100	12.2	1.9	423	273	K		hargrave 2024-04-21 17:21:47	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-4a	HH6-4a_LP-DIR-T	HH6-4		pdf	348.2	68.9	1	4	0	12.2	1.9	423	273	K		hargrave 2024-04-21 17:21:47	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-4a		HH6-4																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-4a	HH6-4a_LP-DIR-T	HH6-4		pdf	152.8	72.9	1	4	-1	12.2	1.9	423	273	K		hargrave 2024-04-21 17:21:47	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
